Trap,LOC_ID,Date,Time,Indicator
MNR,157,26-Nov-14,12:49,1
MNR,157,10-Jan-15,11:50,0
BCPR1,158,26-Nov-14,11:24,1
BCPR1,158,10-Jan-15,11:24,0
HVT,159,26-Nov-14,09:55,1
HVT,159,10-Jan-15,09:58,0
TMTR,160,26-Nov-14,09:36,1
TMTR,160,10-Jan-15,10:37,0
NVT,161,26-Nov-14,09:15,1
NVT,161,10-Jan-15,09:10,0
APR,162,26-Nov-14,17:18,1
APR,162,10-Jan-15,10:05,0
